# CSV file containg most uptodate urls. App reads this file to populate itself. 
ABC News,https://sportsbay.org/embed/73155/1/abc-news-live.html
ABC TV,https://sportsbay.org/embed/52715/1/abc-tv-live.html
ACCN,https://sportsbay.org/embed/50008/1/accn-espn-live.html
AHC,https://sportsbay.org/embed/70077/1/ahc-live.html
AMC,https://sportsbay.org/embed/67190/1/amc-live.html
Adult Swim,https://sportsbay.org/embed/69296/1/adult-swim-live.html
Animal Planet,https://sportsbay.org/embed/69285/1/animal-planet-live.html
BBC News,https://sportsbay.org/embed/69289/1/bbc-america-live.html
Big Ten Network,https://sportsbay.org/embed/45629/1/btn-big-ten-network-live.html
Bloomberg USA,https://sportsbay.org/embed/67733/1/bloomberg-usa-live.html
Bravo,https://sportsbay.org/embed/67737/1/bravo-live.html
C-SPAN History,https://sportsbay.org/embed/67734/1/c-span3-american-history-tv--live.html
C-SPAN,https://sportsbay.org/embed/67741/1/c-span-live.html
CBS News,https://sportsbay.org/embed/69308/1/cbsn-live.html
CBS Sports HQ,https://sportsbay.org/embed/53069/1/cbs-sports-hq-live.html
CBS Sports Network,https://sportsbay.org/embed/87217/1/cbs-sports-network-live.html
CBS TV,https://sportsbay.org/embed/50366/1/cbs-tv-live.html
CMT,https://sportsbay.org/embed/68074/1/country-music-television-live.html
CNBC,https://sportsbay.org/embed/50363/1/cnbc-live.html
CNN,https://sportsbay.org/embed/67193/1/cnn-live.html
Comedy Central,https://sportsbay.org/embed/68072/1/comedy-central-live.html
Cooking Channel,https://tinyurl.com/ad84mnu8
Discovery Channel,https://sportsbay.org/embed/67196/1/discovery-channel-live.html
Discovery ID,https://tinyurl.com/3whf6xaj
Discovery Life,https://tinyurl.com/3db4ca6f
Discovery Science,https://tinyurl.com/3awjyr2t
ESPN 2,https://sportsbay.org/embed/45351/1/espn-2-live.html
ESPN News,https://sportsbay.org/embed/45458/1/espn-news-live.html
ESPN U,https://sportsbay.org/embed/45457/1/espn-u-live.html
ESPN,https://sportsbay.org/embed/43572/1/espn-usa-live.html
FOX Soccer, https://sportsbay.org/embed/56872/1/fox-soccer-plus-live.html
FOX,https://sportsbay.org/embed/53939/1/fox-wnyw--live.html
Fox News,https://s1-tv.blogspot.com/p/webplayer2.html?s=https://1111296894.rsc.cdn77.org/ls-54548-2/index.m3u8
Fox SPorts 2,https://sportsbay.org/embed/45460/1/fox-sports-2-live.html
Fox Sports 1,https://sportsbay.org/embed/45459/1/fox-sports-1-live.html
Free Speech TV,https://sportsbay.org/embed/67736/1/free-speech-tv-live.html
Freeform,https://sportsbay.org/embed/69284/1/freeform-live.html
Golf Channel,https://sportsbay.org/embed/67691/1/golf-channel-live.html
HBO HD,http://s1-tv.blogspot.com/p/webplayer2.html?s=https://tinyurl.com/jba6zzwr
HGTV,https://tinyurl.com/a6d8fbtd
Hallmark,https://s1-tv.blogspot.com/p/webplayer2.html?s=https://tinyurl.com/3cnau9ty
History Channel,https://sportsbay.org/embed/67192/1/history-channel-live.html
Law & Crime Network,https://sportsbay.org/embed/70089/1/law-crime-network-live.html
MLB Network,https://sportsbay.org/embed/38247/1/mlb-network-live.html
MSNBC,https://sportsbay.org/embed/92896/1/msnbc-live.html
NASA TV,https://sportsbay.org/embed/69286/1/nasa-live.html
NBA TV,https://sportsbay.org/embed/38725/1/nba-tv-live.html
NBC Sports Network,https://sportsbay.org/embed/69183/1/nbc-sports-network-live.html
NBC,https://sportsbay.org/embed/97566/1/nbc-live.html
NESN Plus,https://sportsbay.org/embed/85354/1/nesn-plus-live.html
NESN,https://sportsbay.org/embed/85355/1/nesn-live.html
NFL Redzone,https://allfeeds.live/stream/37624.html
NHL Network,https://sportsbay.org/embed/38727/1/nhl-network-live.html
National Geographic,https://sportsbay.org/embed/69287/1/national-geographic-live.html
Oxygen,https://tinyurl.com/rhcv2hm5
Paramount Network,https://sportsbay.org/embed/68077/1/paramount-network-live.html
SEC Network,https://sportsbay.org/embed/46070/1/sec-network-live.html
Showtime,https://sportsbay.org/embed/77870/1/showtime-live.html
Syfy,https://sportsbay.org/embed/69290/1/syfy-live.html
TBS,https://sportsbay.org/embed/69563/1/tbs-live.html
TLC,https://sportsbay.org/embed/66973/1/tlc-live.html
TNT,https://sportsbay.org/embed/50368/1/tnt-live.html
TSN 1,https://sportsbay.org/embed/96800/1/tsn-1-live.html
TSN 2,https://sportsbay.org/embed/96801/1/tsn-2-live.html
TSN 3,https://sportsbay.org/embed/96802/1/tsn-3-live.html
TSN 4,https://sportsbay.org/embed/96803/1/tsn-4-live.html
TSN 5,https://sportsbay.org/embed/96804/1/tsn-5-live.html
TV Land,https://sportsbay.org/embed/68073/1/tv-land-live.html
Tennis Channel,https://sportsbay.org/embed/45711/1/the-tennis-channel-live.html
The CW,https://sportsbay.org/embed/67198/1/the-cw-live.html
The Shopping Channel,https://sportsbay.org/embed/69305/1/the-shopping-channel-live.html
The Weather Channel,https://sportsbay.org/embed/67732/1/the-weather-channel-live.html
USA Network,https://sportsbay.org/embed/67745/1/usa-network-live.html
UFC Network,https://sportsbay.org/embed/67133/1/ufc-network-live.html
VH1,https://sportsbay.org/embed/68075/1/vh1-live.html
WWE Network,https://sportsbay.org/embed/67132/1/wwe-network-live.html
